title,genres,one_star,two_star,three_star,four_star,five_star,rating
Mistakenly Saving the Villain,Drama,15,16,31,67,552,4.7
Mistakenly Saving the Villain,Yaoi,15,16,31,67,552,4.7
Mistakenly Saving the Villain,Xianxia,15,16,31,67,552,4.7
Mistakenly Saving the Villain,Shounen Ai,15,16,31,67,552,4.7
Mistakenly Saving the Villain,Romance,15,16,31,67,552,4.7
Princess and the General,Drama,19,6,7,10,49,3.7
Princess and the General,Romance,19,6,7,10,49,3.7
Heart Stealer Young Master Bo,School Life,1,0,0,0,1,3
Heart Stealer Young Master Bo,Comedy,1,0,0,0,1,3
Heart Stealer Young Master Bo,Shoujo,1,0,0,0,1,3
Heart Stealer Young Master Bo,Fantasy,1,0,0,0,1,3
Heart Stealer Young Master Bo,Romance,1,0,0,0,1,3
Tone Seduction,Adult,4,2,5,3,20,4
Tone Seduction,Drama,4,2,5,3,20,4
Tone Seduction,Romance,4,2,5,3,20,4
Tone Seduction,Yaoi,4,2,5,3,20,4
A Valiant Life,Xuanhuan,31,16,23,18,51,3.3
A Valiant Life,Harem,31,16,23,18,51,3.3
A Valiant Life,Supernatural,31,16,23,18,51,3.3
A Valiant Life,Comedy,31,16,23,18,51,3.3
A Valiant Life,Action,31,16,23,18,51,3.3
A Valiant Life,Martial Arts,31,16,23,18,51,3.3
The Sword of Galaxy,Action,2,1,4,3,19,4.2
The Sword of Galaxy,Adult,2,1,4,3,19,4.2
The Sword of Galaxy,Drama,2,1,4,3,19,4.2
The Sword of Galaxy,Sci-fi,2,1,4,3,19,4.2
The Sword of Galaxy,Yaoi,2,1,4,3,19,4.2
The Husband Who Is Played Broken,Adult,32,21,10,25,87,3.7
The Husband Who Is Played Broken,Harem,32,21,10,25,87,3.7
The Husband Who Is Played Broken,Mature,32,21,10,25,87,3.7
The Husband Who Is Played Broken,Smut,32,21,10,25,87,3.7
The Husband Who Is Played Broken,Yaoi,32,21,10,25,87,3.7
Deceive,Shounen Ai,6,4,15,33,98,4.4
Deceive,Tragedy,6,4,15,33,98,4.4
Lie Huo Jiao Chou,Mystery,8,5,13,16,76,4.2
Lie Huo Jiao Chou,Supernatural,8,5,13,16,76,4.2
Lie Huo Jiao Chou,Action,8,5,13,16,76,4.2
Lie Huo Jiao Chou,Shounen Ai,8,5,13,16,76,4.2
Lie Huo Jiao Chou,Fantasy,8,5,13,16,76,4.2
Infinite Escape Room: No Parkour,Action,2,0,2,0,1,2.6
Infinite Escape Room: No Parkour,Adventure,2,0,2,0,1,2.6
Infinite Escape Room: No Parkour,Horror,2,0,2,0,1,2.6
Infinite Escape Room: No Parkour,Psychological,2,0,2,0,1,2.6
Star Sea Lord,Action,3,0,1,1,9,3.9
Star Sea Lord,Adventure,3,0,1,1,9,3.9
Star Sea Lord,Sci-fi,3,0,1,1,9,3.9
Star Sea Lord,Xianxia,3,0,1,1,9,3.9
To Xu Ziyao,Josei,1,0,0,0,1,3
To Xu Ziyao,Romance,1,0,0,0,1,3
Heavenly Farmer,Slice of Life,26,10,23,19,65,3.6
Heavenly Farmer,Xianxia,26,10,23,19,65,3.6
Heavenly Farmer,Romance,26,10,23,19,65,3.6
I Don’t Want To Go Against The Sky,Xuanhuan,15,6,14,17,25,3.4
I Don’t Want To Go Against The Sky,Comedy,15,6,14,17,25,3.4
I Don’t Want To Go Against The Sky,Action,15,6,14,17,25,3.4
I Don’t Want To Go Against The Sky,Martial Arts,15,6,14,17,25,3.4
I Don’t Want To Go Against The Sky,Fantasy,15,6,14,17,25,3.4
High Comprehension Low Strength,School Life,31,12,18,17,73,3.6
High Comprehension Low Strength,Mature,31,12,18,17,73,3.6
High Comprehension Low Strength,Mystery,31,12,18,17,73,3.6
High Comprehension Low Strength,Harem,31,12,18,17,73,3.6
High Comprehension Low Strength,Xianxia,31,12,18,17,73,3.6
High Comprehension Low Strength,Adventure,31,12,18,17,73,3.6
High Comprehension Low Strength,Comedy,31,12,18,17,73,3.6
High Comprehension Low Strength,Action,31,12,18,17,73,3.6
High Comprehension Low Strength,Martial Arts,31,12,18,17,73,3.6
High Comprehension Low Strength,Romance,31,12,18,17,73,3.6
Indulgent Husband and Sweet Wife,Comedy,7,1,5,4,8,3.2
Indulgent Husband and Sweet Wife,Slice of Life,7,1,5,4,8,3.2
Indulgent Husband and Sweet Wife,Josei,7,1,5,4,8,3.2
Indulgent Husband and Sweet Wife,Romance,7,1,5,4,8,3.2
My Inseparable House Guests,School Life,10,0,7,5,16,3.4
My Inseparable House Guests,Sci-fi,10,0,7,5,16,3.4
My Inseparable House Guests,Supernatural,10,0,7,5,16,3.4
My Inseparable House Guests,Adventure,10,0,7,5,16,3.4
My Inseparable House Guests,Comedy,10,0,7,5,16,3.4
My Inseparable House Guests,Action,10,0,7,5,16,3.4
My Inseparable House Guests,Ecchi,10,0,7,5,16,3.4
My Inseparable House Guests,Fantasy,10,0,7,5,16,3.4
My Inseparable House Guests,Romance,10,0,7,5,16,3.4
Copper Coins,Action,8,4,14,59,316,4.7
Copper Coins,Adventure,8,4,14,59,316,4.7
Copper Coins,Fantasy,8,4,14,59,316,4.7
Copper Coins,Mystery,8,4,14,59,316,4.7
Copper Coins,Romance,8,4,14,59,316,4.7
Copper Coins,Supernatural,8,4,14,59,316,4.7
Copper Coins,Yaoi,8,4,14,59,316,4.7
Doomsday Wonderland,Action,60,21,31,27,275,4.1
Doomsday Wonderland,Adventure,60,21,31,27,275,4.1
Doomsday Wonderland,Horror,60,21,31,27,275,4.1
Doomsday Wonderland,Mystery,60,21,31,27,275,4.1
Doomsday Wonderland,Supernatural,60,21,31,27,275,4.1
Transmigrated as the Lord’s Darling Pet,Comedy,2,7,8,4,12,3.5
Transmigrated as the Lord’s Darling Pet,Drama,2,7,8,4,12,3.5
Transmigrated as the Lord’s Darling Pet,Romance,2,7,8,4,12,3.5
Transmigrated as the Lord’s Darling Pet,Yaoi,2,7,8,4,12,3.5
Same Place Not Same Bed,Comedy,2,6,19,26,108,4.4
Same Place Not Same Bed,Drama,2,6,19,26,108,4.4
Same Place Not Same Bed,Josei,2,6,19,26,108,4.4
Same Place Not Same Bed,Mature,2,6,19,26,108,4.4
Same Place Not Same Bed,Romance,2,6,19,26,108,4.4
Same Place Not Same Bed,Sports,2,6,19,26,108,4.4
Demons Beside You,Supernatural,5,0,2,12,6,3.6
